LPRES.Altitude;Comb_Chamb.OF;Pump_FUEL_LH2.U;Pump_LOX_OXIDIZER.U;Comb_Chamb.p_out_ch;Comb_Chamb.M_r;Heat_exchanger_1.h.T;ThrustMonitor_1.M_out
0;3;438.015;108.858;1641.96;2.8868;156.749;5.45568
0;3.12;438.015;108.858;1664.11;2.88156;157.978;5.42912
0;3.24;438.015;108.858;1686.05;2.87644;159.171;5.40331
0;3.36;438.015;108.858;1707.81;2.87145;160.333;5.37821
0;3.48;438.015;108.858;1729.37;2.86657;161.463;5.3538
0;3.6;438.015;108.858;1750.74;2.86181;162.565;5.33003
0;3.72;438.015;108.858;1771.92;2.85715;163.64;5.3069
0;3.84;438.015;108.858;1792.9;2.8526;164.69;5.28437
0;3.96;438.015;108.858;1813.7;2.84816;165.715;5.26242
0;4.08;438.015;108.858;1834.31;2.84381;166.719;5.24103
0;4.2;438.015;108.858;1854.74;2.83955;167.701;5.22019
0;4.32;438.015;108.858;1874.98;2.83539;168.662;5.19986
0;4.44;438.015;108.858;1895.03;2.83132;169.605;5.18003
0;4.56;438.015;108.858;1914.9;2.82733;170.529;5.16068
0;4.68;438.015;108.858;1934.6;2.82343;171.436;5.1418
0;4.8;438.015;108.858;1954.11;2.81961;172.327;5.12337
0;4.92;438.015;108.858;1973.44;2.81587;173.202;5.10537
0;5.04;438.015;108.858;1992.6;2.8122;174.061;5.08779
0;5.16;438.015;108.858;2011.58;2.80861;174.907;5.07061
0;5.28;438.015;108.858;2030.39;2.80509;175.739;5.05382
0;5.4;438.015;108.858;2049.03;2.80164;176.557;5.03741
0;5.52;438.015;108.858;2067.5;2.79825;177.363;5.02137
0;5.64;438.015;108.858;2085.79;2.79493;178.157;5.00568
0;5.76;438.015;108.858;2103.93;2.79168;178.94;4.99033
0;5.88;438.015;108.858;2121.89;2.78848;179.711;4.97531
0;6;438.015;108.858;2139.69;2.78535;180.471;4.96061
0;6.12;438.015;108.858;2157.33;2.78228;181.222;4.94622
0;6.24;438.015;108.858;2174.81;2.77926;181.962;4.93213
0;6.36;438.015;108.858;2192.14;2.7763;182.693;4.91834
0;6.48;438.015;108.858;2209.3;2.77339;183.414;4.90482
0;6.6;438.015;108.858;2226.31;2.77053;184.127;4.89158
0;6.72;438.015;108.858;2243.16;2.76773;184.831;4.87861
0;6.84;438.015;108.858;2259.86;2.76497;185.527;4.86589
0;6.96;438.015;108.858;2276.41;2.76226;186.214;4.85343
0;7.08;438.015;108.858;2292.81;2.7596;186.894;4.84121
0;7.2;438.015;108.858;2309.07;2.75699;187.567;4.82922
0;7.32;438.015;108.858;2325.18;2.75442;188.232;4.81746
0;7.44;438.015;108.858;2341.14;2.75189;188.89;4.80593
0;7.56;438.015;108.858;2356.96;2.74941;189.541;4.79461
0;7.68;438.015;108.858;2372.64;2.74696;190.185;4.78351
0;7.8;438.015;108.858;2388.18;2.74456;190.824;4.77261
0;7.92;438.015;108.858;2403.58;2.7422;191.455;4.7619
0;8.04;438.015;108.858;2411.23;2.74103;191.586;4.75663
0;8.16;438.015;108.858;2403.67;2.74218;190.735;4.76185
