Comb_Chamb.f_O.p_c;Comb_Chamb.AR;Pump_FUEL_LH2.U;Pump_LOX_OXIDIZER.U;Comb_Chamb.p_out_ch;Comb_Chamb.M_r;Contact_Wall_1.A_wet;ThrustMonitor_1.M_out
3e+006;5;438.015;108.858;95085.9;2.79061;1.36853;2.79061
3e+006;7.5;438.015;108.858;54753.4;2.79061;1.36853;3.08376
3e+006;10;438.015;108.858;37294.8;2.79061;1.36853;3.28723
3e+006;12.5;438.015;108.858;27781.7;2.79061;1.36853;3.44362
3e+006;15;438.015;108.858;21880.8;2.79061;1.36853;3.57089
3e+006;17.5;438.015;108.858;17901.3;2.79061;1.36853;3.67834
3e+006;20;438.015;108.858;15055.5;2.79061;1.36853;3.7714
3e+006;22.5;438.015;108.858;12930.2;2.79061;1.36853;3.85355
3e+006;25;438.015;108.858;11289.1;2.79061;1.36853;3.92711
3e+006;27.5;438.015;108.858;9987.8;2.79061;1.36853;3.99376
3e+006;30;438.015;108.858;8933.36;2.79061;1.36853;4.0547
3e+006;32.5;438.015;108.858;8063.5;2.79061;1.36853;4.11086
3e+006;35;438.015;108.858;7334.99;2.79061;1.36853;4.16295
3e+006;37.5;438.015;108.858;6716.93;2.79061;1.36853;4.21153
3e+006;40;438.015;108.858;6186.68;2.79061;1.36853;4.25706
3e+006;42.5;438.015;108.858;5727.32;2.79061;1.36853;4.29991
3e+006;45;438.015;108.858;5325.93;2.79061;1.36853;4.34038
3e+006;47.5;438.015;108.858;4972.52;2.79061;1.36853;4.37874
3e+006;50;438.015;108.858;4659.23;2.79061;1.36853;4.41519
3e+006;52.5;438.015;108.858;4379.81;2.79061;1.36853;4.44993
3e+006;55;438.015;108.858;4129.2;2.79061;1.36853;4.4831
4e+006;5;438.015;108.858;126781;2.79061;1.0789;2.79061
4e+006;7.5;438.015;108.858;73004.6;2.79061;1.0789;3.08376
4e+006;10;438.015;108.858;49726.4;2.79061;1.0789;3.28723
4e+006;12.5;438.015;108.858;37042.3;2.79061;1.0789;3.44362
4e+006;15;438.015;108.858;29174.5;2.79061;1.0789;3.57089
4e+006;17.5;438.015;108.858;23868.4;2.79061;1.0789;3.67834
4e+006;20;438.015;108.858;20074;2.79061;1.0789;3.7714
4e+006;22.5;438.015;108.858;17240.3;2.79061;1.0789;3.85355
4e+006;25;438.015;108.858;15052.2;2.79061;1.0789;3.92711
4e+006;27.5;438.015;108.858;13317.1;2.79061;1.0789;3.99376
4e+006;30;438.015;108.858;11911.1;2.79061;1.0789;4.0547
4e+006;32.5;438.015;108.858;10751.3;2.79061;1.0789;4.11086
4e+006;35;438.015;108.858;9779.99;2.79061;1.0789;4.16295
4e+006;37.5;438.015;108.858;8955.91;2.79061;1.0789;4.21153
4e+006;40;438.015;108.858;8248.91;2.79061;1.0789;4.25706
4e+006;42.5;438.015;108.858;7636.43;2.79061;1.0789;4.29991
4e+006;45;438.015;108.858;7101.24;2.79061;1.0789;4.34038
4e+006;47.5;438.015;108.858;6630.03;2.79061;1.0789;4.37874
4e+006;50;438.015;108.858;6212.31;2.79061;1.0789;4.41519
4e+006;52.5;438.015;108.858;5839.74;2.79061;1.0789;4.44993
4e+006;55;438.015;108.858;5505.6;2.79061;1.0789;4.4831
5e+006;5;438.015;108.858;158476;2.79061;0.900586;2.79061
5e+006;7.5;438.015;108.858;91255.7;2.79061;0.900586;3.08376
5e+006;10;438.015;108.858;62158;2.79061;0.900586;3.28723
5e+006;12.5;438.015;108.858;46302.8;2.79061;0.900586;3.44362
5e+006;15;438.015;108.858;36468.1;2.79061;0.900586;3.57089
5e+006;17.5;438.015;108.858;29835.4;2.79061;0.900586;3.67834
5e+006;20;438.015;108.858;25092.4;2.79061;0.900586;3.7714
5e+006;22.5;438.015;108.858;21550.4;2.79061;0.900586;3.85355
5e+006;25;438.015;108.858;18815.2;2.79061;0.900586;3.92711
5e+006;27.5;438.015;108.858;16646.3;2.79061;0.900586;3.99376
5e+006;30;438.015;108.858;14888.9;2.79061;0.900586;4.0547
5e+006;32.5;438.015;108.858;13439.2;2.79061;0.900586;4.11086
5e+006;35;438.015;108.858;12225;2.79061;0.900586;4.16295
5e+006;37.5;438.015;108.858;11194.9;2.79061;0.900586;4.21153
5e+006;40;438.015;108.858;10311.1;2.79061;0.900586;4.25706
5e+006;42.5;438.015;108.858;9545.53;2.79061;0.900586;4.29991
5e+006;45;438.015;108.858;8876.55;2.79061;0.900586;4.34038
5e+006;47.5;438.015;108.858;8287.54;2.79061;0.900586;4.37874
5e+006;50;438.015;108.858;7765.39;2.79061;0.900586;4.41519
5e+006;52.5;438.015;108.858;7299.68;2.79061;0.900586;4.44993
5e+006;55;438.015;108.858;6882;2.79061;0.900586;4.4831
6e+006;5;438.015;108.858;190172;2.79061;0.779256;2.79061
6e+006;7.5;438.015;108.858;109507;2.79061;0.779256;3.08376
6e+006;10;438.015;108.858;74589.5;2.79061;0.779256;3.28723
6e+006;12.5;438.015;108.858;55563.4;2.79061;0.779256;3.44362
6e+006;15;438.015;108.858;43761.7;2.79061;0.779256;3.57089
6e+006;17.5;438.015;108.858;35802.5;2.79061;0.779256;3.67834
6e+006;20;438.015;108.858;30110.9;2.79061;0.779256;3.7714
