LPRES.Altitude;Comb_Chamb.OF
0;3
0;3.1
0;3.2
0;3.3
0;3.4
0;3.5
0;3.6
0;3.7
0;3.8
0;3.9
0;4
0;4.1
0;4.2
0;4.3
0;4.4
0;4.5
0;4.6
0;4.7
0;4.8
0;4.9
0;5
0;5.1
0;5.2
0;5.3
0;5.4
0;5.5
0;5.6
0;5.7
0;5.8
0;5.9
0;6
0;6.1
0;6.2
0;6.3
0;6.4
0;6.5
0;6.6
0;6.7
0;6.8
0;6.9
0;7
0;7.1
0;7.2
0;7.3
0;7.4
0;7.5
0;7.6
0;7.7
0;7.8
0;7.9
0;8
100000;3
100000;3.1
100000;3.2
100000;3.3
100000;3.4
100000;3.5
100000;3.6
100000;3.7
100000;3.8
100000;3.9
100000;4
100000;4.1
100000;4.2
100000;4.3
100000;4.4
100000;4.5
100000;4.6
100000;4.7
100000;4.8
100000;4.9
100000;5
100000;5.1
100000;5.2
100000;5.3
100000;5.4
100000;5.5
100000;5.6
100000;5.7
100000;5.8
100000;5.9
100000;6
100000;6.1
100000;6.2
100000;6.3
100000;6.4
100000;6.5
100000;6.6
100000;6.7
100000;6.8
100000;6.9
100000;7
100000;7.1
100000;7.2
100000;7.3
100000;7.4
100000;7.5
100000;7.6
100000;7.7
100000;7.8
100000;7.9
100000;8
