LPRES.Altitude;Heat_exchanger_1.f_in.W
0;4.317
0;4.263
0;4.209
0;4.155
0;4.101
0;4.047
0;3.993
0;3.939
0;3.885
0;3.831
0;3.777
0;3.723
0;3.669
0;3.615
0;3.561
0;3.507
0;3.453
0;3.399
0;3.345
0;3.291
0;3.237
0;3.183
0;3.129
0;3.075
0;3.021
0;2.967
0;2.913
0;2.859
0;2.805
0;2.751
0;2.697
0;2.643
0;2.589
0;2.535
0;2.481
0;2.427
0;2.373
0;2.319
0;2.265
0;2.211
0;2.157
0;2.103
0;2.049
0;1.995
0;1.941
0;1.887
0;1.833
0;1.779
0;1.725
0;1.671
0;1.617
100000;4.317
100000;4.263
100000;4.209
100000;4.155
100000;4.101
100000;4.047
100000;3.993
100000;3.939
100000;3.885
100000;3.831
100000;3.777
100000;3.723
100000;3.669
100000;3.615
100000;3.561
100000;3.507
100000;3.453
100000;3.399
100000;3.345
100000;3.291
100000;3.237
100000;3.183
100000;3.129
100000;3.075
100000;3.021
100000;2.967
100000;2.913
100000;2.859
100000;2.805
100000;2.751
100000;2.697
100000;2.643
100000;2.589
100000;2.535
100000;2.481
100000;2.427
100000;2.373
100000;2.319
100000;2.265
100000;2.211
100000;2.157
100000;2.103
100000;2.049
100000;1.995
100000;1.941
100000;1.887
100000;1.833
100000;1.779
100000;1.725
100000;1.671
100000;1.617
