Experiment: exp1 Library: LPRES_EXAMPLES Component: LE5B_valves Partition: valves_off_design
User: mmore Date: 2020:07:04 Time: 18:11:44
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.18362]
Library dependency list: LPRES V2.0.1 LPRES_EXAMPLES V0.1 MATH V3.2.3 
Programme and Version: PROOSIS V3.8.1

Name\Point;Units;Alias;Station;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101
#Calculation id;;--;--;analysis(#2)-steady-1;analysis(#2)-steady-2;analysis(#2)-steady-3;analysis(#2)-steady-4;analysis(#2)-steady-5;analysis(#2)-steady-6;analysis(#2)-steady-7;analysis(#2)-steady-8;analysis(#2)-steady-9;analysis(#2)-steady-10;analysis(#2)-steady-11;analysis(#2)-steady-12;analysis(#2)-steady-13;analysis(#2)-steady-14;analysis(#2)-steady-15;analysis(#2)-steady-16;analysis(#2)-steady-17;analysis(#2)-steady-18;analysis(#2)-steady-19;analysis(#2)-steady-20;analysis(#2)-steady-21;analysis(#2)-steady-22;analysis(#2)-steady-23;analysis(#2)-steady-24;analysis(#2)-steady-25;analysis(#2)-steady-26;analysis(#2)-steady-27;analysis(#2)-steady-28;analysis(#2)-steady-29;analysis(#2)-steady-30;analysis(#2)-steady-31;analysis(#2)-steady-32;analysis(#2)-steady-33;analysis(#2)-steady-34;analysis(#2)-steady-35;analysis(#2)-steady-36;analysis(#2)-steady-37;analysis(#2)-steady-38;analysis(#2)-steady-39;analysis(#2)-steady-40;analysis(#2)-steady-41;analysis(#2)-steady-42;analysis(#2)-steady-43;analysis(#2)-steady-44;analysis(#2)-steady-45;analysis(#2)-steady-46;analysis(#2)-steady-47;analysis(#2)-steady-48;analysis(#2)-steady-49;analysis(#2)-steady-50;analysis(#2)-steady-51;analysis(#2)-steady-52;analysis(#2)-steady-53;analysis(#2)-steady-54;analysis(#2)-steady-55;analysis(#2)-steady-56;analysis(#2)-steady-57;analysis(#2)-steady-58;analysis(#2)-steady-59;analysis(#2)-steady-60;analysis(#2)-steady-61;analysis(#2)-steady-62;analysis(#2)-steady-63;analysis(#2)-steady-64;analysis(#2)-steady-65;analysis(#2)-steady-66;analysis(#2)-steady-67;analysis(#2)-steady-68;analysis(#2)-steady-69;analysis(#2)-steady-70;analysis(#2)-steady-71;analysis(#2)-steady-72;analysis(#2)-steady-73;analysis(#2)-steady-74;analysis(#2)-steady-75;analysis(#2)-steady-76;analysis(#2)-steady-77;analysis(#2)-steady-78;analysis(#2)-steady-79;analysis(#2)-steady-80;analysis(#2)-steady-81;analysis(#2)-steady-82;analysis(#2)-steady-83;analysis(#2)-steady-84;analysis(#2)-steady-85;analysis(#2)-steady-86;analysis(#2)-steady-87;analysis(#2)-steady-88;analysis(#2)-steady-89;analysis(#2)-steady-90;analysis(#2)-steady-91;analysis(#2)-steady-92;analysis(#2)-steady-93;analysis(#2)-steady-94;analysis(#2)-steady-95;analysis(#2)-steady-96;analysis(#2)-steady-97;analysis(#2)-steady-98;analysis(#2)-steady-99;analysis(#2)-steady-100;analysis(#2)-steady-101
#Status;;--;--;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_NOK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_NOK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_OK;STEADY_NOK
#ESI;;--;--;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;9:204:32:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;7:288:32:98;1:917:11:98;1:917:11:98;1:917:11:98;7:288:32:98;7:288:32:98;1:917:11:98;1:917:11:98;7:288:32:98;7:288:32:98;9:204:32:98;1:917:11:98;1:917:11:98;1:917:11:98;1:917:11:98;7:288:32:98;7:288:32:98;7:288:32:98;1:917:11:98;9:204:32:98
#Case;;--;--;off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2);off_design_param(#2)
#Point;;--;--;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCV.dp;Pa;--;--;110000;110673.961;111366.824;112079.295;112812.117;113566.067;114341.957;115140.642;115963.015;116810.015;117682.626;118581.884;119508.874;120464.738;121450.678;122467.957;123517.905;124601.921;125721.481;126878.141;128073.541;129309.413;130587.583;131909.984;133278.657;134695.76;136163.579;137684.534;139261.188;140896.26;142592.634;144353.372;146181.727;148081.157;150055.341;152108.194;154243.889;156466.875;158781.896;161194.02;163708.662;166331.612;169069.068;171927.67;174914.536;178037.305;181304.179;184723.979;188306.193;192061.042;195999.544;200133.589;204476.021;209040.728;213842.745;218898.364;224225.26;229842.627;235771.336;242034.109;248655.706;255663.15;263085.96;270956.431;279309.937;288185.276;297625.055;307676.132;318390.108;329823.887;342040.313;355108.883;369106.569;384118.745;400240.245;417576.568;436245.259;456377.478;478119.81;501636.324;527110.957;554750.237;584786.439;617481.223;653129.856;692066.118;734668.044;781364.671;832644.033;889062.728;951257.505;1019959.53;1096012.27;1180394.48;1274250.51;1378931.67;1496054.46;1627586.16;1775975.93;1944365.66;2136948.78
MFV.dp;Pa;--;--;110000.001;112040.302;114137.378;116293.332;118510.37;120790.797;123137.03;125551.598;128037.153;130596.476;133232.483;135948.234;138746.941;141631.979;144606.893;147675.41;150841.449;154109.134;157482.808;160967.042;164566.655;168286.729;172132.62;176109.986;180224.798;184483.366;188892.36;193458.835;198190.257;203094.534;208180.043;213455.666;218930.824;224615.52;230520.378;236656.69;243036.466;249672.487;256578.367;263768.614;271258.7;279065.139;287205.569;295698.841;304565.118;313825.986;323504.567;333625.653;344215.844;355303.704;366919.933;379097.552;391872.11;405281.907;419368.246;434175.708;449752.448;466150.534;483426.31;501640.806;520860.181;541156.223;562606.894;585296.933;609318.531;634772.066;661766.925;690422.406;720868.722;753248.1;787716.004;824442.473;863613.597;905433.137;950124.296;997931.655;1049123.27;1103992.94;1162862.66;1226085.21;1294046.91;1367170.48;1445918.03;1530794.02;1622348.2;1721178.46;1827933.39;1943314.5;2068077.89;2203035.39;2349054.95;2507060.43;2678031.02;2863001.13;3063062.13;3279368.68;3513154.93;3765769.45;4038745.68;4333939;4653792.56
MOV.dp;Pa;--;--;140000.001;142885.569;145851.415;148900.515;152035.985;155261.086;158579.231;161993.998;165509.135;169128.573;172856.432;176697.04;180654.936;184734.89;188941.912;193281.27;197758.504;202379.442;207150.22;212077.302;217167.496;222427.983;227866.335;233490.545;239309.051;245330.771;251565.13;258022.096;264712.22;271646.674;278837.294;286296.628;294037.99;302075.51;310424.198;319100.005;328119.897;337501.932;347265.338;357430.608;368019.598;379055.632;390563.621;402570.19;415103.815;428194.979;441876.337;456182.895;471152.216;486824.634;503243.493;520455.418;538510.596;557463.1;577371.239;598297.944;620311.194;643484.484;667897.347;693635.923;720793.592;749471.673;779780.2;811838.77;845777.495;881738.044;919874.802;960356.15;1003365.88;1049104.77;1097792.28;1149668.51;1204996.25;1264063.31;1327185.08;1394707.25;1467008.89;1544505.73;1627653.72;1716952.86;1812951.37;1916250;2027506.68;2147441.37;2276841.08;2416565.01;2567549.91;2730815.53;2907470.36;3098717.88;3305863.84;3530325.65;3773645.65;4037511.42;4323788.86;4634577.35;4972303.77;5339884.57;5741009.44;6180649.11;6665996.4
CCV.A;m^2;--;--;0.000748597692;0.00074617722;0.000743711379;0.000741199184;0.000738639631;0.000736031692;0.000733374319;0.000730666442;0.000727906968;0.000725094781;0.000722228744;0.000719307695;0.000716330452;0.000713295807;0.00071020253;0.000707049367;0.000703835041;0.000700558253;0.000697217676;0.000693811966;0.000690339751;0.000686799637;0.000683190209;0.000679510027;0.000675757631;0.000671931538;0.000668030244;0.000664052225;0.000659995935;0.000655859811;0.00065164227;0.000647341713;0.000642956522;0.000638485068;0.000633925703;0.000629276771;0.000624536602;0.000619703517;0.00061477583;0.000609751851;0.000604629885;0.000599408235;0.000594085209;0.000588659115;0.000583128272;0.000577491007;0.00057174566;0.000565890589;0.000559924174;0.000553844816;0.000547650949;0.000541341038;0.000534913584;0.000528367135;0.000521700283;0.000514911674;0.000508000015;0.000500964074;0.000493802692;0.000486514785;0.000479099354;0.000471555488;0.000463882375;0.000456079305;0.00044814568;0.00044008102;0.000431884971;0.000423557315;0.000415097972;0.000406507013;0.000397784667;0.000388931327;0.000379947558;0.000370834107;0.000361591909;0.000352222093;0.000342725993;0.00033310515;0.000323361324;0.000313496493;0.000303512865;0.000293412876;0.000283199198;0.000272874736;0.000262442631;0.000251906253;0.000241269197;0.000230535266;0.000219708459;0.000208792939;0.000197792993;0.000186712975;0.000175557228;0.000164329965;0.000153035111;0.000141676073;0.000130255402;0.000118774313;0.000107231954;9.56242915e-5;8.39423235e-5
MFV.A;m^2;--;--;0.00111859425;0.00110808886;0.00109758348;0.00108707809;0.00107657271;0.00106606732;0.00105556193;0.00104505655;0.00103455116;0.00102404578;0.00101354039;0.001003035;0.000992529619;0.000982024233;0.000971518847;0.000961013461;0.000950508075;0.000940002689;0.000929497303;0.000918991917;0.000908486531;0.000897981145;0.000887475759;0.000876970373;0.000866464987;0.000855959601;0.000845454215;0.000834948829;0.000824443443;0.000813938057;0.000803432671;0.000792927286;0.0007824219;0.000771916514;0.000761411128;0.000750905742;0.000740400356;0.00072989497;0.000719389584;0.000708884198;0.000698378812;0.000687873426;0.00067736804;0.000666862654;0.000656357268;0.000645851882;0.000635346496;0.00062484111;0.000614335724;0.000603830338;0.000593324952;0.000582819567;0.000572314181;0.000561808795;0.000551303409;0.000540798023;0.000530292637;0.000519787251;0.000509281865;0.000498776479;0.000488271093;0.000477765707;0.000467260321;0.000456754935;0.000446249549;0.000435744163;0.000425238777;0.000414733391;0.000404228005;0.000393722619;0.000383217233;0.000372711848;0.000362206462;0.000351701076;0.00034119569;0.000330690304;0.000320184918;0.000309679532;0.000299174146;0.00028866876;0.000278163374;0.000267657988;0.000257152602;0.000246647216;0.00023614183;0.000225636444;0.000215131058;0.000204625672;0.000194120286;0.0001836149;0.000173109514;0.000162604129;0.000152098743;0.000141593357;0.000131087971;0.000120582585;0.000110077199;9.95718128e-5;8.90664269e-5;7.85610409e-5;6.8055655e-5
