Turbine.rpm;Nozzle.A;Turbine.M_2
5000;0.01;0.356204
5000;0.0158;0.57633
5000;0.0216;0.888777
5000;0.0274;1.55842
5000;0.0332;2.39966
5000;0.039;3.73555
5000;0.0448;7.83744
5000;0.0506;****
5000;0.0564;****
5000;0.0622;****
5000;0.068;****
5000;0.0738;****
5000;0.0796;****
5000;0.0854;****
5000;0.0912;****
5000;0.097;****
5000;0.1028;****
5000;0.1086;****
5000;0.1144;****
5000;0.1202;****
5000;0.126;****
5000;0.1318;****
5000;0.1376;****
5000;0.1434;****
5000;0.1492;****
5000;0.155;****
5000;0.1608;****
5000;0.1666;****
5000;0.1724;****
5000;0.1782;****
5000;0.184;****
5000;0.1898;****
5000;0.1956;****
5000;0.2014;****
5000;0.2072;****
5000;0.213;****
5000;0.2188;****
5000;0.2246;****
5000;0.2304;****
5000;0.2362;****
5000;0.242;****
5000;0.2478;****
5000;0.2536;****
5000;0.2594;****
5000;0.2652;****
5000;0.271;****
5000;0.2768;****
5000;0.2826;****
5000;0.2884;****
5000;0.2942;****
5000;0.3;****
7000;0.01;0.351369
7000;0.0158;0.545634
7000;0.0216;0.7683
7000;0.0274;1.1048
7000;0.0332;1.50002
7000;0.039;1.89914
7000;0.0448;2.32866
7000;0.0506;2.81939
7000;0.0564;3.41841
7000;0.0622;4.21486
7000;0.068;5.42168
7000;0.0738;7.78337
7000;0.0796;20.5628
7000;0.0854;****
7000;0.0912;****
7000;0.097;****
7000;0.1028;****
7000;0.1086;****
7000;0.1144;****
7000;0.1202;****
7000;0.126;****
7000;0.1318;****
7000;0.1376;****
7000;0.1434;****
7000;0.1492;****
7000;0.155;****
7000;0.1608;****
7000;0.1666;****
7000;0.1724;****
7000;0.1782;****
7000;0.184;****
7000;0.1898;****
7000;0.1956;****
7000;0.2014;****
7000;0.2072;****
7000;0.213;****
7000;0.2188;****
7000;0.2246;****
7000;0.2304;****
7000;0.2362;****
7000;0.242;****
7000;0.2478;****
7000;0.2536;****
7000;0.2594;****
7000;0.2652;****
7000;0.271;****
7000;0.2768;****
7000;0.2826;****
7000;0.2884;****
7000;0.2942;****
7000;0.3;****
9000;0.01;0.352139
9000;0.0158;0.529937
9000;0.0216;0.71323
9000;0.0274;0.926094
9000;0.0332;1.18784
9000;0.039;1.43208
9000;0.0448;1.66325
9000;0.0506;1.88825
9000;0.0564;2.11214
9000;0.0622;2.33906
9000;0.068;2.57282
9000;0.0738;2.81732
9000;0.0796;3.07684
9000;0.0854;3.35644
9000;0.0912;3.66249
9000;0.097;4.00337
9000;0.1028;4.39064
9000;0.1086;4.84107
9000;0.1144;5.38041
9000;0.1202;6.05094
9000;0.126;6.92875
9000;0.1318;8.16955
9000;0.1376;10.1644
9000;0.1434;14.3693
9000;0.1492;49.1873
9000;0.155;****
9000;0.1608;****
9000;0.1666;****
9000;0.1724;****
9000;0.1782;****
9000;0.184;****
9000;0.1898;****
9000;0.1956;****
9000;0.2014;****
9000;0.2072;****
9000;0.213;****
9000;0.2188;****
9000;0.2246;****
9000;0.2304;****
9000;0.2362;****
9000;0.242;****
9000;0.2478;****
9000;0.2536;****
9000;0.2594;****
9000;0.2652;****
9000;0.271;****
9000;0.2768;****
9000;0.2826;****
9000;0.2884;****
9000;0.2942;****
9000;0.3;****
11000;0.01;0.357667
11000;0.0158;0.524526
11000;0.0216;0.685161
11000;0.0274;0.851105
11000;0.0332;1.03636
11000;0.039;1.21661
11000;0.0448;1.3792
11000;0.0506;1.52932
11000;0.0564;1.67038
11000;0.0622;1.80471
11000;0.068;1.93402
11000;0.0738;2.0596
11000;0.0796;2.18248
11000;0.0854;2.30348
11000;0.0912;2.4233
11000;0.097;2.54254
11000;0.1028;2.66173
11000;0.1086;2.78137
11000;0.1144;2.90192
11000;0.1202;3.0238
11000;0.126;3.14747
11000;0.1318;3.27334
11000;0.1376;3.40187
11000;0.1434;3.53351
11000;0.1492;3.66876
11000;0.155;3.80815
11000;0.1608;3.95223
11000;0.1666;4.10165
11000;0.1724;4.2571
11000;0.1782;4.41937
11000;0.184;4.58482
11000;0.1898;4.74961
11000;0.1956;4.91381
11000;0.2014;5.0775
11000;0.2072;5.24072
11000;0.213;5.40353
11000;0.2188;5.56598
11000;0.2246;5.72811
11000;0.2304;5.88996
11000;0.2362;6.05156
11000;0.242;6.21294
11000;0.2478;6.37413
11000;0.2536;6.53515
11000;0.2594;6.69603
11000;0.2652;6.85679
11000;0.271;7.01745
11000;0.2768;7.17801
11000;0.2826;7.33851
11000;0.2884;7.49896
11000;0.2942;7.65936
