Turbine.rpm;Nozzle.A;Turbine.M_2
12500;0.01;0.387313
12500;0.0129;0.467427
12500;0.0158;0.541016
12500;0.0187;0.609772
12500;0.0216;0.67486
12500;0.0245;0.737125
12500;0.0274;0.797209
12500;0.0303;0.855622
12500;0.0332;0.91278
12500;0.0361;0.96904
12500;0.039;1.02435
12500;0.0419;1.07638
12500;0.0448;1.12509
12500;0.0477;1.17092
12500;0.0506;1.21423
12500;0.0535;1.25532
12500;0.0564;1.29444
12500;0.0593;1.33178
12500;0.0622;1.36753
12500;0.0651;1.40184
12500;0.068;1.43483
12500;0.0709;1.46663
12500;0.0738;1.49732
12500;0.0767;1.527
12500;0.0796;1.55573
12500;0.0825;1.5836
12500;0.0854;1.61066
12500;0.0883;1.63697
12500;0.0912;1.66257
12500;0.0941;1.68751
12500;0.097;1.71184
12500;0.0999;1.73558
12500;0.1028;1.75877
12500;0.1057;1.78144
12500;0.1086;1.80362
12500;0.1115;1.82534
12500;0.1144;1.84662
12500;0.1173;1.86747
12500;0.1202;1.88793
12500;0.1231;1.90801
12500;0.126;1.92773
12500;0.1289;1.9471
12500;0.1318;1.96615
12500;0.1347;1.98487
12500;0.1376;2.0033
12500;0.1405;2.02143
12500;0.1434;2.03926
12500;0.1463;2.0564
12500;0.1492;2.07277
12500;0.1521;2.0884
12500;0.155;2.10335
12500;0.1579;2.11765
12500;0.1608;2.13133
12500;0.1637;2.14443
12500;0.1666;2.15698
12500;0.1695;2.16901
12500;0.1724;2.18054
12500;0.1753;2.1916
12500;0.1782;2.20223
12500;0.1811;2.21243
12500;0.184;2.22223
12500;0.1869;2.23164
12500;0.1898;2.2407
12500;0.1927;2.24942
12500;0.1956;2.2578
12500;0.1985;2.26588
12500;0.2014;2.27365
12500;0.2043;2.28115
12500;0.2072;2.28837
12500;0.2101;2.29534
12500;0.213;2.30206
12500;0.2159;2.30854
12500;0.2188;2.31481
12500;0.2217;2.32085
12500;0.2246;2.3267
12500;0.2275;2.33234
12500;0.2304;2.3378
12500;0.2333;2.34308
12500;0.2362;2.34819
12500;0.2391;2.35313
12500;0.242;2.35792
12500;0.2449;2.36255
12500;0.2478;2.36704
12500;0.2507;2.37139
12500;0.2536;2.3756
12500;0.2565;2.37969
12500;0.2594;2.38365
12500;0.2623;2.3875
12500;0.2652;2.39123
12500;0.2681;2.39485
12500;0.271;2.39836
12500;0.2739;2.40178
12500;0.2768;2.40509
12500;0.2797;2.40831
12500;0.2826;2.41144
12500;0.2855;2.41449
12500;0.2884;2.41745
12500;0.2913;2.42032
12500;0.2942;2.42312
12500;0.2971;2.42585
12500;0.3;2.4285
14250;0.01;0.388131
14250;0.0129;0.463578
14250;0.0158;0.531523
14250;0.0187;0.593791
14250;0.0216;0.651604
14250;0.0245;0.705824
14250;0.0274;0.757086
14250;0.0303;0.805869
14250;0.0332;0.852547
14250;0.0361;0.897419
14250;0.039;0.940724
14250;0.0419;0.982662
14250;0.0448;1.02313
14250;0.0477;1.06113
14250;0.0506;1.09686
14250;0.0535;1.13057
14250;0.0564;1.16249
14250;0.0593;1.19282
14250;0.0622;1.2217
14250;0.0651;1.24928
14250;0.068;1.27567
14250;0.0709;1.30098
14250;0.0738;1.32529
14250;0.0767;1.34869
14250;0.0796;1.37125
14250;0.0825;1.39303
14250;0.0854;1.41408
14250;0.0883;1.43445
14250;0.0912;1.45419
14250;0.0941;1.47334
14250;0.097;1.49193
14250;0.0999;1.51001
14250;0.1028;1.52759
14250;0.1057;1.54471
14250;0.1086;1.56138
14250;0.1115;1.57765
14250;0.1144;1.59352
14250;0.1173;1.60902
14250;0.1202;1.62416
14250;0.1231;1.63897
14250;0.126;1.65345
14250;0.1289;1.66762
14250;0.1318;1.6815
14250;0.1347;1.69511
14250;0.1376;1.70844
14250;0.1405;1.72151
14250;0.1434;1.73432
14250;0.1463;1.74659
14250;0.1492;1.75826
14250;0.1521;1.76938
14250;0.155;1.77998
14250;0.1579;1.79008
14250;0.1608;1.79972
14250;0.1637;1.80893
14250;0.1666;1.81772
14250;0.1695;1.82613
14250;0.1724;1.83417
14250;0.1753;1.84187
14250;0.1782;1.84924
14250;0.1811;1.8563
14250;0.184;1.86307
14250;0.1869;1.86956
14250;0.1898;1.8758
14250;0.1927;1.88178
14250;0.1956;1.88753
14250;0.1985;1.89305
14250;0.2014;1.89837
14250;0.2043;1.90348
14250;0.2072;1.90839
14250;0.2101;1.91313
14250;0.213;1.91769
14250;0.2159;1.92209
14250;0.2188;1.92633
14250;0.2217;1.93041
14250;0.2246;1.93436
14250;0.2275;1.93817
14250;0.2304;1.94184
14250;0.2333;1.94539
14250;0.2362;1.94882
14250;0.2391;1.95214
14250;0.242;1.95535
14250;0.2449;1.95845
14250;0.2478;1.96145
14250;0.2507;1.96436
14250;0.2536;1.96717
14250;0.2565;1.96989
14250;0.2594;1.97253
14250;0.2623;1.97509
14250;0.2652;1.97758
14250;0.2681;1.97998
14250;0.271;1.98232
14250;0.2739;1.98458
14250;0.2768;1.98678
14250;0.2797;1.98891
14250;0.2826;1.99099
14250;0.2855;1.993
14250;0.2884;1.99496
14250;0.2913;1.99686
14250;0.2942;1.99871
14250;0.2971;2.0005
14250;0.3;2.00225
16000;0.01;0.391507
16000;0.0129;0.463283
16000;0.0158;0.526871
16000;0.0187;0.584262
16000;0.0216;0.636775
16000;0.0245;0.685333
16000;0.0274;0.730606
16000;0.0303;0.773101
16000;0.0332;0.813212
16000;0.0361;0.851248
16000;0.039;0.887458
16000;0.0419;0.922049
16000;0.0448;0.95519
16000;0.0477;0.987024
16000;0.0506;1.01754
16000;0.0535;1.04631
16000;0.0564;1.07345
16000;0.0593;1.09916
16000;0.0622;1.12356
16000;0.0651;1.14679
16000;0.068;1.16896
16000;0.0709;1.19015
16000;0.0738;1.21045
16000;0.0767;1.22993
16000;0.0796;1.24865
16000;0.0825;1.26668
16000;0.0854;1.28406
16000;0.0883;1.30083
16000;0.0912;1.31704
16000;0.0941;1.33273
16000;0.097;1.34792
16000;0.0999;1.36265
16000;0.1028;1.37694
16000;0.1057;1.39083
16000;0.1086;1.40432
16000;0.1115;1.41745
16000;0.1144;1.43024
16000;0.1173;1.44269
16000;0.1202;1.45483
16000;0.1231;1.46668
16000;0.126;1.47824
16000;0.1289;1.48953
16000;0.1318;1.50057
16000;0.1347;1.51136
16000;0.1376;1.52191
16000;0.1405;1.53224
16000;0.1434;1.54234
16000;0.1463;1.552
16000;0.1492;1.56117
16000;0.1521;1.56988
16000;0.155;1.57818
16000;0.1579;1.58607
16000;0.1608;1.59359
16000;0.1637;1.60076
16000;0.1666;1.6076
16000;0.1695;1.61413
16000;0.1724;1.62037
16000;0.1753;1.62633
16000;0.1782;1.63204
16000;0.1811;1.6375
16000;0.184;1.64272
16000;0.1869;1.64773
16000;0.1898;1.65253
16000;0.1927;1.65714
16000;0.1956;1.66156
16000;0.1985;1.6658
16000;0.2014;1.66988
16000;0.2043;1.67379
16000;0.2072;1.67756
16000;0.2101;1.68119
16000;0.213;1.68468
16000;0.2159;1.68803
16000;0.2188;1.69127
16000;0.2217;1.69439
16000;0.2246;1.6974
16000;0.2275;1.7003
16000;0.2304;1.7031
16000;0.2333;1.7058
16000;0.2362;1.70841
16000;0.2391;1.71093
16000;0.242;1.71337
